,noise,layer,experiment
0,27.008537,L2_3,vivo
1,26.2479,L2_3,vivo
2,25.879835,L2_3,vivo
3,23.029226,L2_3,vivo
4,27.866272,L2_3,vivo
5,26.173496,L2_3,vivo
6,25.782337,L2_3,vivo
7,26.040384,L2_3,vivo
20,27.554506,L4,vivo
21,25.462603,L4,vivo
22,25.554482,L4,vivo
27,25.938368,L4,vivo
25,25.747696,L4,vivo
26,26.010427,L4,vivo
19,25.846685,L4,vivo
23,26.088316,L4,vivo
18,25.710903,L4,vivo
24,25.73943,L4,vivo
16,27.245762,L4,vivo
17,25.871132,L4,vivo
9,25.951311,L4,vivo
10,26.267109,L4,vivo
11,26.410559,L4,vivo
8,27.676838,L4,vivo
13,26.29803,L4,vivo
14,25.971624,L4,vivo
15,26.568878,L4,vivo
12,28.252934,L4,vivo
92,28.558727,L5,vivo
85,29.014479,L5,vivo
91,29.094494,L5,vivo
90,28.633743,L5,vivo
89,27.758238,L5,vivo
88,29.95569,L5,vivo
87,29.333172,L5,vivo
86,28.598606,L5,vivo
84,27.064795,L5,vivo
79,27.832087,L5,vivo
82,25.750622,L5,vivo
81,27.334541,L5,vivo
80,27.38,L5,vivo
78,26.868944,L5,vivo
77,27.3637,L5,vivo
76,27.398027,L5,vivo
75,27.489237,L5,vivo
74,26.36144,L5,vivo
93,27.47475,L5,vivo
83,27.029345,L5,vivo
94,27.159172,L5,vivo
108,31.450628,L5,vivo
96,28.782269,L5,vivo
115,29.279165,L5,vivo
114,29.255281,L5,vivo
113,28.325941,L5,vivo
112,31.440672,L5,vivo
111,29.77304,L5,vivo
110,30.896694,L5,vivo
109,29.119532,L5,vivo
73,26.55345,L5,vivo
107,29.30993,L5,vivo
106,30.24295,L5,vivo
105,29.509233,L5,vivo
104,28.62155,L5,vivo
103,28.831093,L5,vivo
102,27.656,L5,vivo
101,28.607594,L5,vivo
100,27.793425,L5,vivo
99,28.360106,L5,vivo
98,27.86549,L5,vivo
97,27.953375,L5,vivo
95,28.560753,L5,vivo
72,27.804756,L5,vivo
63,25.145002,L5,vivo
70,26.446428,L5,vivo
46,24.88949,L5,vivo
45,24.505344,L5,vivo
44,27.227976,L5,vivo
71,26.983255,L5,vivo
42,24.946192,L5,vivo
41,25.852884,L5,vivo
40,27.479116,L5,vivo
39,25.966368,L5,vivo
38,25.642653,L5,vivo
37,25.668417,L5,vivo
36,26.966213,L5,vivo
35,26.821106,L5,vivo
34,25.428984,L5,vivo
33,25.729057,L5,vivo
32,27.228437,L5,vivo
31,26.147284,L5,vivo
30,26.023905,L5,vivo
29,25.768568,L5,vivo
28,26.228369,L5,vivo
47,25.262156,L5,vivo
48,24.988457,L5,vivo
43,25.50476,L5,vivo
50,23.798464,L5,vivo
69,26.053999,L5,vivo
68,27.511272,L5,vivo
67,26.560093,L5,vivo
66,25.453405,L5,vivo
49,23.507591,L5,vivo
64,26.513313,L5,vivo
62,23.12816,L5,vivo
61,23.154745,L5,vivo
60,24.818369,L5,vivo
65,25.092995,L5,vivo
58,22.538645,L5,vivo
57,22.95597,L5,vivo
56,24.821598,L5,vivo
55,24.062624,L5,vivo
54,22.770634,L5,vivo
53,22.719347,L5,vivo
52,24.08103,L5,vivo
51,24.527622,L5,vivo
59,24.11347,L5,vivo
125,30.348022,L6,vivo
124,31.239134,L6,vivo
123,30.252981,L6,vivo
122,30.952288,L6,vivo
121,29.5269,L6,vivo
117,29.288435,L6,vivo
119,30.236044,L6,vivo
118,30.268066,L6,vivo
116,30.597393,L6,vivo
126,28.935219,L6,vivo
120,30.0145,L6,vivo
127,29.0371,L6,vivo
