,firing rate,experiment,layer
501,-0.42596873227228116,GT,L2/3
502,-0.0007244273028873565,GT,L2/3
528,-1.933053208520389,GT,L2/3
503,-1.698970014043257,GT,L2/3
505,-2.7781512398674693,GT,L2/3
506,-2.477121244203488,GT,L2/3
507,-2.477121244203488,GT,L2/3
508,-1.5228787549875757,GT,L2/3
509,-1.3157532649813621,GT,L2/3
510,-1.933053208520389,GT,L2/3
504,-1.4164234064877126,GT,L2/3
529,-1.6320232128564078,GT,L2/3
530,-1.933053208520389,GT,L2/3
531,-1.8750612528755255,GT,L2/3
550,-1.5477023149203577,GT,L2/3
551,-0.9148283789159141,GT,L2/3
552,-2.079181223397403,GT,L2/3
553,-1.4559319538007267,GT,L2/3
554,-1.1549019581367455,GT,L2/3
555,-1.2218487593235945,GT,L2/3
549,-2.7781512398674693,GT,L2/3
556,-2.3010300053712194,GT,L2/3
558,-1.0457574733033632,GT,L2/3
559,-1.823908750651557,GT,L2/3
560,-1.698970014043257,GT,L2/3
561,-0.8487323277147589,GT,L2/3
562,-2.7781512398674693,GT,L2/3
563,-1.1446828026300477,GT,L2/3
557,-1.0538753920163881,GT,L2/3
496,-2.3010300053712194,GT,L2/3
548,-1.0969100227152946,GT,L2/3
546,-1.4559319538007267,GT,L2/3
532,-2.3010300053712194,GT,L2/3
533,-1.0299632215284455,GT,L2/3
534,-1.5740312572115442,GT,L2/3
535,-1.4357285866226441,GT,L2/3
536,-1.2867895636471365,GT,L2/3
537,-2.000000009707238,GT,L2/3
547,-1.477121232069441,GT,L2/3
538,-1.933053208520389,GT,L2/3
540,-1.477121232069441,GT,L2/3
541,-2.079181223397403,GT,L2/3
542,-2.000000009707238,GT,L2/3
543,-1.8750612528755255,GT,L2/3
544,-1.4559319538007267,GT,L2/3
545,-1.6642079015614564,GT,L2/3
539,-2.079181223397403,GT,L2/3
424,-1.7367585822866254,GT,L2/3
495,-1.6642079015614564,GT,L2/3
493,-0.8805241800641137,GT,L2/3
456,-1.7367585822866254,GT,L2/3
455,-2.000000009707238,GT,L2/3
454,-2.3010300053712194,GT,L2/3
453,-2.7781512398674693,GT,L2/3
452,-2.477121244203488,GT,L2/3
451,-inf,GT,L2/3
450,-1.477121232069441,GT,L2/3
449,-1.477121232069441,GT,L2/3
448,-2.477121244203488,GT,L2/3
447,-1.4993976548804921,GT,L2/3
446,-0.3419885908265954,GT,L2/3
445,-1.823908750651557,GT,L2/3
444,-2.7781512398674693,GT,L2/3
443,-0.35654732586708243,GT,L2/3
442,-1.477121232069441,GT,L2/3
441,-2.079181223397403,GT,L2/3
440,-1.259637312859026,GT,L2/3
426,-2.7781512398674693,GT,L2/3
427,0.2911467712653368,GT,L2/3
428,-0.6777807188253977,GT,L2/3
429,-1.0969100227152946,GT,L2/3
430,-2.7781512398674693,GT,L2/3
431,0.17897694455028537,GT,L2/3
457,-1.6020599848564703,GT,L2/3
432,0.20906798123054243,GT,L2/3
434,0.1303337761649226,GT,L2/3
435,-0.0036342811746277533,GT,L2/3
436,-1.4357285866226441,GT,L2/3
437,-inf,GT,L2/3
438,-2.7781512398674693,GT,L2/3
439,-inf,GT,L2/3
433,0.12548127811034646,GT,L2/3
458,-2.000000009707238,GT,L2/3
459,-inf,GT,L2/3
460,-0.3907614244692743,GT,L2/3
479,-1.4357285866226441,GT,L2/3
480,-2.3010300053712194,GT,L2/3
481,-0.5451551454411674,GT,L2/3
482,-0.8643373860039906,GT,L2/3
483,-2.1760912485395068,GT,L2/3
484,-0.6989699978645267,GT,L2/3
478,-1.477121232069441,GT,L2/3
485,-1.933053208520389,GT,L2/3
487,-1.1446828026300477,GT,L2/3
488,-0.9148283789159141,GT,L2/3
489,-1.933053208520389,GT,L2/3
490,-1.933053208520389,GT,L2/3
491,-0.971971265883582,GT,L2/3
492,-1.3802112287686221,GT,L2/3
486,-2.477121244203488,GT,L2/3
494,-1.4164234064877126,GT,L2/3
477,-1.8750612528755255,GT,L2/3
475,-2.7781512398674693,GT,L2/3
461,-2.000000009707238,GT,L2/3
462,-2.3010300053712194,GT,L2/3
463,-inf,GT,L2/3
464,-2.7781512398674693,GT,L2/3
465,-inf,GT,L2/3
466,-2.3010300053712194,GT,L2/3
476,-1.6320232128564078,GT,L2/3
467,-0.44571280732401797,GT,L2/3
469,-2.000000009707238,GT,L2/3
470,-2.1760912485395068,GT,L2/3
471,-1.5477023149203577,GT,L2/3
472,-1.5228787549875757,GT,L2/3
473,-2.3010300053712194,GT,L2/3
474,-2.1760912485395068,GT,L2/3
468,-2.079181223397403,GT,L2/3
423,-0.6642078940943502,GT,L2/3
412,-2.7781512398674693,GT,L2/3
98,-0.23408322082535013,NS,L2/3
97,-0.6197887679956322,NS,L2/3
656,-2.000000009707238,GT,L4
657,-0.09691000653656438,GT,L4
658,-2.477121244203488,GT,L4
659,-1.1446828026300477,GT,L4
660,-2.7781512398674693,GT,L4
661,-2.477121244203488,GT,L4
679,-0.4477374920337992,GT,L4
663,0.029383798974603626,GT,L4
664,-0.1116332823254373,GT,L4
665,-0.3767507231614165,GT,L4
666,-0.8487323277147589,GT,L4
667,-0.09510420741872518,GT,L4
668,0.13140478548842008,GT,L4
655,-1.0299632215284455,GT,L4
662,0.17849732653329728,GT,L4
654,-1.5740312572115442,GT,L4
652,-1.0705810697175953,GT,L4
638,-2.7781512398674693,GT,L4
639,-2.7781512398674693,GT,L4
640,-0.20994952071968254,GT,L4
641,-inf,GT,L4
642,-2.7781512398674693,GT,L4
643,0.4411712750326352,GT,L4
653,-0.3279021431658131,GT,L4
644,-1.0072992251403976,GT,L4
646,-0.2206440324157785,GT,L4
647,0.08576613733937997,GT,L4
648,-1.0791812331046409,GT,L4
649,-2.477121244203488,GT,L4
650,0.7475412765903717,GT,L4
651,-1.4164234064877126,GT,L4
645,-inf,GT,L4
637,-inf,GT,L4
99,0.46189853650396384,NS,L4
101,-0.09151497984303082,NS,L4
120,0.17897694455028537,NS,L4
121,0.7499938371988455,NS,L4
122,0.04792355540804468,NS,L4
123,-0.40893540890332775,NS,L4
124,0.4725126560566757,NS,L4
669,-1.1549019581367455,GT,L4
119,-0.2924298320231518,NS,L4
670,-1.3467874689673445,GT,L4
672,-0.6882461427324362,GT,L4
673,-2.079181223397403,GT,L4
674,-2.3010300053712194,GT,L4
675,-2.079181223397403,GT,L4
676,-2.079181223397403,GT,L4
677,-1.259637312859026,GT,L4
671,0.23720851062253667,GT,L4
100,0.17849732653329728,NS,L4
118,0.1324731601025237,NS,L4
116,0.09225265936088738,NS,L4
102,-0.05551733020310123,NS,L4
103,0.279514847360701,NS,L4
104,-0.3341064496235877,NS,L4
105,0.20637606725212293,NS,L4
106,0.21263143972725518,NS,L4
107,0.5158738399234886,NS,L4
117,0.16633143117960428,NS,L4
108,-0.4317982703360389,NS,L4
110,0.7442929980479189,NS,L4
111,0.46637327156441366,NS,L4
112,0.08398014144568575,NS,L4
113,0.21572565993694845,NS,L4
114,0.25527249359843107,NS,L4
115,-0.3516399959995543,NS,L4
109,0.4292137968488703,NS,L4
636,-0.41642342336986593,GT,L4
635,-1.7367585822866254,GT,L4
634,-1.6020599848564703,GT,L4
583,-1.933053208520389,GT,L4
584,-2.079181223397403,GT,L4
585,-1.0377885514763205,GT,L4
586,-2.7781512398674693,GT,L4
587,-2.7781512398674693,GT,L4
588,-1.477121232069441,GT,L4
582,-0.05551733020310123,GT,L4
589,-0.9520764561826874,GT,L4
591,-2.477121244203488,GT,L4
592,-1.0879551883168226,GT,L4
593,-2.000000009707238,GT,L4
594,-0.05551733020310123,GT,L4
595,-0.8096682984895835,GT,L4
596,-1.8750612528755255,GT,L4
590,-0.29814431016937704,GT,L4
597,-1.5477023149203577,GT,L4
581,-2.7781512398674693,GT,L4
579,-inf,GT,L4
572,-1.778151227733422,GT,L4
571,-0.7569619587096965,GT,L4
570,-1.4357285866226441,GT,L4
569,-2.7781512398674693,GT,L4
568,-0.29527767222456747,GT,L4
567,-1.1549019581367455,GT,L4
580,-2.477121244203488,GT,L4
566,-0.3943358814081417,GT,L4
564,-0.22670127393393366,GT,L4
1,-0.027642855900126436,M,L4
575,-1.1446828026300477,GT,L4
576,0.13935425816726943,GT,L4
577,-0.869666214247682,GT,L4
578,-0.19382003572335105,GT,L4
565,-1.4559319538007267,GT,L4
598,-0.560667296756658,GT,L4
599,0.4683473388647183,GT,L4
600,0.1319393013237159,GT,L4
620,0.0,GT,L4
621,-2.7781512398674693,GT,L4
622,-1.823908750651557,GT,L4
623,0.4586378490256493,GT,L4
624,-1.1446828026300477,GT,L4
625,-1.0299632215284455,GT,L4
619,-0.06803387558351184,GT,L4
626,-0.023802918683126915,GT,L4
628,-0.5326385996307006,GT,L4
629,0.12002525091677183,GT,L4
630,0.5056021389826569,GT,L4
631,-0.869666214247682,GT,L4
632,-1.933053208520389,GT,L4
633,-0.7611179145695128,GT,L4
627,0.26046892369196545,GT,L4
618,-0.6351364452875689,GT,L4
617,-0.36991127455561956,GT,L4
616,-0.06888127889163836,GT,L4
601,0.014940335787001782,GT,L4
602,0.25527249359843107,GT,L4
603,-2.079181223397403,GT,L4
604,-2.000000009707238,GT,L4
605,-0.2757241538431074,GT,L4
606,-1.062147910233494,GT,L4
607,-2.1760912485395068,GT,L4
608,-1.778151227733422,GT,L4
609,-0.971971265883582,GT,L4
610,-1.477121232069441,GT,L4
611,-inf,GT,L4
612,0.4934580523248048,GT,L4
613,-0.3716110577680565,GT,L4
614,-0.40893540890332775,GT,L4
615,-1.698970014043257,GT,L4
678,0.2683439184165686,GT,L4
573,-2.1760912485395068,GT,L4
574,-0.4436974819754009,GT,L4
681,-1.8750612528755255,GT,L4
714,-1.778151227733422,GT,L4
715,-1.3309932171924266,GT,L4
716,-1.823908750651557,GT,L4
717,-inf,GT,L4
718,-1.0457574733033632,GT,L4
719,-0.8436528069660665,GT,L4
720,-1.477121232069441,GT,L4
721,-1.3631779058974753,GT,L4
722,-1.4357285866226441,GT,L4
723,-1.1346985909586629,GT,L4
724,-0.3532696192022542,GT,L4
725,-1.2867895636471365,GT,L4
726,-2.477121244203488,GT,L4
727,-0.4858951969888603,GT,L4
728,-1.823908750651557,GT,L4
729,-2.079181223397403,GT,L4
730,-1.0538753920163881,GT,L4
732,-1.7367585822866254,GT,L4
733,-inf,GT,L4
734,-2.7781512398674693,GT,L4
735,0.4205058549203258,GT,L4
736,-inf,GT,L4
737,0.2944662324688339,GT,L4
738,-0.1060533770264985,GT,L4
739,-2.3010300053712194,GT,L4
740,-2.477121244203488,GT,L4
680,-0.8643373860039906,GT,L4
713,-1.8750612528755255,GT,L4
712,-2.7781512398674693,GT,L4
731,-0.7289332258644643,GT,L4
710,-0.5109795163836637,GT,L4
682,-1.0705810697175953,GT,L4
711,-1.0299632215284455,GT,L4
683,-inf,GT,L4
684,0.3985186817330073,GT,L4
685,-inf,GT,L4
686,-1.4993976548804921,GT,L4
688,-1.5740312572115442,GT,L4
689,0.05817285868181001,GT,L4
690,-2.7781512398674693,GT,L4
691,0.1038037144335081,GT,L4
692,-0.9788107144893788,GT,L4
693,-0.45800496972226723,GT,L4
694,-0.07918125640201228,GT,L4
695,0.06694677483863104,GT,L4
687,-0.6917914201332556,GT,L4
697,-2.1760912485395068,GT,L4
709,0.17221360770705782,GT,L4
708,-0.5252981997361996,GT,L4
696,-1.3631779058974753,GT,L4
707,-2.3010300053712194,GT,L4
706,-2.000000009707238,GT,L4
704,-1.8750612528755255,GT,L4
705,-2.7781512398674693,GT,L4
702,-2.000000009707238,GT,L4
701,0.1227618324433333,GT,L4
700,-1.6320232128564078,GT,L4
699,-2.000000009707238,GT,L4
698,-2.7781512398674693,GT,L4
703,-2.7781512398674693,GT,L4
850,-2.3010300053712194,GT,L5
855,-1.3467874689673445,GT,L5
851,-2.7781512398674693,GT,L5
852,-1.2867895636471365,GT,L5
853,-0.593459827687133,GT,L5
849,0.17705528623994887,GT,L5
854,-2.000000009707238,GT,L5
856,-1.477121232069441,GT,L5
861,-0.3024800606740117,GT,L5
858,-0.555434774895898,GT,L5
859,-1.933053208520389,GT,L5
860,-1.8750612528755255,GT,L5
862,-0.6020599913279624,GT,L5
863,-0.9330532085203891,GT,L5
864,-0.46852107838963286,GT,L5
848,-2.3010300053712194,GT,L5
865,-1.0147232693173809,GT,L5
857,-1.3157532649813621,GT,L5
847,-0.45181540068842574,GT,L5
832,-0.013228252924204003,GT,L5
845,-1.6320232128564078,GT,L5
866,-1.0879551883168226,GT,L5
827,-0.6575773215310636,GT,L5
828,0.22271645998716566,GT,L5
829,0.3156205424623598,GT,L5
830,0.39211047060827986,GT,L5
831,-0.016223423069896978,GT,L5
834,0.0057523234394137295,GT,L5
835,0.07432872173004754,GT,L5
836,-0.42596873227228116,GT,L5
837,-0.8643373860039906,GT,L5
838,-0.4436974819754009,GT,L5
839,-0.999999993528508,GT,L5
840,-0.5740312450774971,GT,L5
841,-2.477121244203488,GT,L5
842,-1.124938719350988,GT,L5
843,-2.1760912485395068,GT,L5
844,-2.3010300053712194,GT,L5
846,-0.8805241800641137,GT,L5
867,-0.4416915012659718,GT,L5
898,-0.11257027099480818,GT,L5
869,-0.6917914201332556,GT,L5
892,-inf,GT,L5
893,-1.3802112287686221,GT,L5
894,-0.2158583745798953,GT,L5
895,-1.4164234064877126,GT,L5
896,-0.5086383028256024,GT,L5
897,-1.7367585822866254,GT,L5
899,-2.3010300053712194,GT,L5
900,-2.7781512398674693,GT,L5
901,-2.477121244203488,GT,L5
902,-1.5228787549875757,GT,L5
903,-0.8973376635525299,GT,L5
904,-1.3979400183792758,GT,L5
905,-1.4993976548804921,GT,L5
906,-1.2730012615475632,GT,L5
907,-1.6642079015614564,GT,L5
908,0.06942139169726184,GT,L5
909,-1.124938719350988,GT,L5
891,-1.3309932171924266,GT,L5
890,0.23804610791695135,GT,L5
889,-2.3010300053712194,GT,L5
888,-0.8750612407414784,GT,L5
870,-1.3157532649813621,GT,L5
871,-0.9030899869919435,GT,L5
872,-0.18820166396399501,GT,L5
873,-1.259637312859026,GT,L5
874,-1.3802112287686221,GT,L5
875,-0.9030899869919435,GT,L5
876,-1.7367585822866254,GT,L5
877,-2.079181223397403,GT,L5
868,-2.079181223397403,GT,L5
878,-0.6642078940943502,GT,L5
880,-0.6642078940943502,GT,L5
881,-1.698970014043257,GT,L5
882,-0.9456423235923954,GT,L5
883,-0.11918641316888623,GT,L5
884,-2.000000009707238,GT,L5
885,0.20048570800717128,GT,L5
886,-0.3172534187338782,GT,L5
887,-0.7026042789847723,GT,L5
879,-0.4145392812493045,GT,L5
911,-0.8096682984895835,GT,L5
1151,0.2937307639424053,GT,L5
1157,-1.0299632215284455,GT,L5
1001,0.1851642524395357,GT,L5
1000,-2.3010300053712194,GT,L5
999,-1.0791812331046409,GT,L5
998,-2.3010300053712194,GT,L5
997,0.4578818794165498,GT,L5
996,-1.6020599848564703,GT,L5
995,0.23888209289759338,GT,L5
994,-1.5477023149203577,GT,L5
993,0.013539385923494563,GT,L5
992,-0.3716110577680565,GT,L5
991,-0.5351132164893313,GT,L5
990,0.5185139336025012,GT,L5
989,-2.477121244203488,GT,L5
988,-2.1760912485395068,GT,L5
987,-0.7569619587096965,GT,L5
986,-1.1549019581367455,GT,L5
985,-0.6137983832519329,GT,L5
984,-0.008035947861515872,GT,L5
983,-0.1446828116600368,GT,L5
982,0.12656430624231094,GT,L5
981,-2.477121244203488,GT,L5
980,-1.4559319538007267,GT,L5
979,-1.3309932171924266,GT,L5
978,-2.3010300053712194,GT,L5
977,-1.6020599848564703,GT,L5
976,-2.7781512398674693,GT,L5
975,-2.477121244203488,GT,L5
1002,0.03676194484527517,GT,L5
974,-0.3202693619475924,GT,L5
1003,-0.3142582485881852,GT,L5
1005,0.38975656749617454,GT,L5
1032,0.32290808417670547,GT,L5
1031,0.06258197347035796,GT,L5
1030,-2.000000009707238,GT,L5
1029,0.06320820873211261,GT,L5
1028,-2.000000009707238,GT,L5
1027,-1.7367585822866254,GT,L5
1026,-0.6882461427324362,GT,L5
1025,-0.43375896920214396,GT,L5
1024,0.01283721264180816,GT,L5
1023,-0.5633073903400094,GT,L5
1022,-1.6642079015614564,GT,L5
1021,-0.6446123279284142,GT,L5
1020,-0.9652378897583314,GT,L5
1019,0.04727487109875788,GT,L5
1018,-1.778151227733422,GT,L5
1017,0.09922009328891294,GT,L5
1016,-1.698970014043257,GT,L5
1015,-1.933053208520389,GT,L5
1014,-0.35654732586708243,GT,L5
1013,-1.8750612528755255,GT,L5
1012,-0.6608799539374681,GT,L5
1011,-1.3979400183792758,GT,L5
1010,-0.10697839133114784,GT,L5
1009,-2.7781512398674693,GT,L5
1008,-0.07918125640201228,GT,L5
1007,-0.3112836201345566,GT,L5
1006,-0.08354605772546121,GT,L5
1004,-0.26626787347494285,GT,L5
973,-2.000000009707238,GT,L5
972,-0.7653140251758312,GT,L5
971,-0.6575773215310636,GT,L5
938,-1.1983676592165111,GT,L5
937,-1.062147910233494,GT,L5
936,0.3864989553450967,GT,L5
935,-0.6478174933935125,GT,L5
934,-0.23408322082535013,GT,L5
933,-1.477121232069441,GT,L5
932,-0.8050233978854755,GT,L5
931,-1.1346985909586629,GT,L5
930,-2.1760912485395068,GT,L5
929,-0.002904987863705916,GT,L5
928,0.201397133437522,GT,L5
927,-2.7781512398674693,GT,L5
926,-0.8050233978854755,GT,L5
925,-1.0457574733033632,GT,L5
924,-0.560667296756658,GT,L5
923,-0.21112487749002246,GT,L5
922,-1.1060533935494568,GT,L5
921,-0.8916605359689669,GT,L5
920,-0.752845396352407,GT,L5
919,-0.5633073903400094,GT,L5
918,-2.079181223397403,GT,L5
917,-1.1060533935494568,GT,L5
916,-0.3532696192022542,GT,L5
915,-0.0870697612130463,GT,L5
914,-0.9928214157972367,GT,L5
913,0.1346020568319684,GT,L5
912,-0.009513139963488518,GT,L5
939,-inf,GT,L5
940,0.2648178308878746,GT,L5
941,-2.3010300053712194,GT,L5
942,-1.4357285866226441,GT,L5
970,-0.9330532085203891,GT,L5
969,-1.823908750651557,GT,L5
968,-1.3631779058974753,GT,L5
967,-1.5228787549875757,GT,L5
966,-0.9089195250557014,GT,L5
965,-0.7289332258644643,GT,L5
964,-0.7869251926528414,GT,L5
963,-1.5740312572115442,GT,L5
962,-0.34040067660423273,GT,L5
961,-0.5713253544147754,GT,L5
960,-1.6320232128564078,GT,L5
959,-1.062147910233494,GT,L5
958,-0.7367585558123393,GT,L5
1033,0.029383798974603626,GT,L5
957,-1.8750612528755255,GT,L5
955,-0.971971265883582,GT,L5
954,-2.3010300053712194,GT,L5
953,-0.5740312450774971,GT,L5
952,-2.7781512398674693,GT,L5
951,-0.8287612652618961,GT,L5
950,-2.7781512398674693,GT,L5
949,-1.6320232128564078,GT,L5
948,-0.32178522413338945,GT,L5
947,-2.477121244203488,GT,L5
946,-0.7958800270513134,GT,L5
945,-1.823908750651557,GT,L5
944,-1.1153934108237316,GT,L5
943,-2.1760912485395068,GT,L5
956,-2.3010300053712194,GT,L5
1158,-0.20296340655751313,GT,L5
1034,-0.8386320102616996,GT,L5
1036,-0.5906305403049857,GT,L5
1125,-2.1760912485395068,GT,L5
1124,-0.7212464044968486,GT,L5
1123,0.11115043876216667,GT,L5
1122,-0.9208187636596135,GT,L5
1121,0.2768446074963746,GT,L5
1120,-1.6020599848564703,GT,L5
1119,-0.6608799539374681,GT,L5
1118,-0.8916605359689669,GT,L5
1117,0.22874247142446008,GT,L5
1116,0.06818584581633469,GT,L5
1115,-0.45593196304571537,GT,L5
1114,0.3563446242910006,GT,L5
1113,-0.36821811818867134,GT,L5
1112,-inf,GT,L5
1111,-1.823908750651557,GT,L5
1110,-2.1760912485395068,GT,L5
1109,-0.6847295723191741,GT,L5
1108,0.22010807930743917,GT,L5
1107,0.016336780984937682,GT,L5
1106,0.010723855289931689,GT,L5
1105,-2.3010300053712194,GT,L5
1104,-0.6989699978645267,GT,L5
1103,0.2652110351338748,GT,L5
1102,-0.6446123279284142,GT,L5
1101,-1.3631779058974753,GT,L5
1100,-1.3802112287686221,GT,L5
1099,-1.1983676592165111,GT,L5
1126,0.10209052060066484,GT,L5
1098,0.0057523234394137295,GT,L5
1127,-0.062147902766387826,GT,L5
1129,-0.5351132164893313,GT,L5
1156,0.30175321659393317,GT,L5
1155,-2.3010300053712194,GT,L5
1154,-1.778151227733422,GT,L5
1153,0.46214832828470603,GT,L5
1152,-1.1346985909586629,GT,L5
910,-0.5477023320507778,GT,L5
1150,0.709835070512545,GT,L5
1149,0.279514847360701,GT,L5
1148,-1.2466723192563767,GT,L5
1147,-1.4164234064877126,GT,L5
1146,-2.079181223397403,GT,L5
1145,-2.7781512398674693,GT,L5
1144,-2.3010300053712194,GT,L5
1143,0.012133902237955463,GT,L5
1142,-0.6953658770721228,GT,L5
1141,-1.3802112287686221,GT,L5
1140,-1.2730012615475632,GT,L5
1139,0.1851642524395357,GT,L5
1138,-0.5376020145977185,GT,L5
1137,-1.5740312572115442,GT,L5
1136,-0.5401051574296798,GT,L5
1135,-0.15905792324155046,GT,L5
1134,-1.8750612528755255,GT,L5
1133,-0.5713253544147754,GT,L5
1132,-0.04979747610401326,GT,L5
1131,-1.2218487593235945,GT,L5
1130,-0.3907614244692743,GT,L5
1128,-2.477121244203488,GT,L5
1097,-0.5376020145977185,GT,L5
1096,-inf,GT,L5
1095,-0.8143634151597503,GT,L5
